timestamp_ns,busv,current,power,hall_speed
1778181366593374274,12.032,9.9975,487.975,13.1075
1778181366893835631,11.616,19.05,1489.175,12.81
1778181367295088475,11.552,19.93,1267.8,12.81
1778181367695753173,11.512,20.1825,592.2,12.862499999999999
1778181367996617016,11.472,21.25,168.85,13.0025
1778181368397620733,12.248,2.615,515.275,13.0025
1778181368698407722,12.3,1.68,1572.475,13.0725
1778181369099254573,12.312,1.815,1522.0,13.0725
1778181369500118376,12.328,2.13,1367.975,12.74
1778181369801053575,12.32,2.365,897.925,12.74
1778181370001778475,12.332,2.3475,1101.825,12.354999999999999
1778181370403019237,12.256,3.665,85.7,12.354999999999999
1778181370803668396,12.252,4.2325,261.525,11.935
1778181371004445637,11.208,28.0825,798.1,11.935
1778181371204754227,10.82,36.285,797.2,11.6725
1778181371505557226,10.78,37.215,794.45,11.6725
1778181371906638128,10.72,37.7,786.05,12.18
1778181372307744546,10.668,38.8675,760.425,12.8275
1778181372608842309,10.58,42.5825,682.225,12.8275
1778181373110348820,10.56,41.765,443.575,13.44
1778181373511019320,10.576,40.935,1353.675,14.052499999999998
1778181373911962653,10.548,40.985,854.275,14.052499999999998
1778181374212182665,10.812,34.1825,968.625,14.682500000000001
1778181374412794365,11.212,25.3475,1317.6,15.224999999999998
1778181374813797059,12.024,5.6825,744.175,15.224999999999998
1778181375214817406,12.132,3.6,632.625,15.4175
1778181375415045817,12.224,2.0825,292.2,15.260000000000002
1778181375716058999,12.24,1.9675,891.7,15.260000000000002
1778181376117507591,12.248,1.9975,1082.85,15.067499999999999
1778181376418149800,12.256,2.13,27.775,15.067499999999999
1778181376618385912,12.264,2.0325,84.75,14.84
1778181377019509384,12.28,1.8325,258.625,14.629999999999999
1778181377420589052,12.288,2.165,789.25,14.629999999999999
1778181377620761555,12.292,1.7,770.175,14.42
1778181377921573272,12.308,1.73,711.975,14.42
1778181378322551860,12.312,1.715,534.375,14.174999999999999
1778181378622907437,12.316,1.75,1630.775,14.052499999999998
1778181378823666574,12.312,1.73,61.525,14.052499999999998
1778181379224190609,12.316,1.8825,187.75,14.0
1778181379624584800,12.324,1.8,572.95,14.0
1778181379925375826,12.328,1.765,110.1,14.0
1778181380325967237,12.328,1.78,335.975,14.035
1778181380726693943,12.336,2.3975,1025.3,14.035
1778181381127820750,12.34,1.78,1490.55,13.86
1778181381328585236,12.344,1.815,1271.975,13.86
1778181381628691496,12.34,1.73,604.95,13.825000000000001
1778181382030003882,12.344,1.7,207.75,13.825000000000001
1778181382431047775,12.348,1.665,634.0,13.8775
1778181382831907259,12.352,1.85,296.4,13.86
1778181383232998559,12.356,1.8,904.525,13.86
1778181383533726639,12.332,2.4325,1121.975,13.719999999999999
1778181383734430901,12.172,6.1325,147.175,13.719999999999999
1778181384134941741,11.18,29.6,449.125,13.4225
1778181384535964193,10.816,36.9175,1370.6,13.4225
1778181384937003315,10.72,38.7675,905.925,13.8075
1778181385338369934,10.636,39.6675,1126.25,14.489999999999998
1778181385538795524,12.14,2.5175,160.225,14.98
1778181385839637717,12.228,1.65,488.95,14.98
1778181386240498333,12.256,1.815,1492.15,14.84
1778181386541443128,12.272,1.65,1276.875,14.84
1778181386741949821,12.284,1.78,619.9,14.5425
1778181387142693358,12.296,1.73,253.375,14.385000000000002
1778181387543792713,12.308,1.73,773.225,14.385000000000002
1778181387744288725,12.316,1.715,721.275,14.349999999999998
1778181388045038094,12.316,1.715,562.75,14.349999999999998
1778181388446317800,12.12,6.7825,78.975,14.192499999999999
1778181388847334529,12.18,4.95,241.0,14.052499999999998
1778181389147529214,11.06,32.2475,735.45,14.052499999999998
1778181389348236755,11.236,28.5475,606.0,14.105
1778181389749185216,10.896,33.95,210.95,14.56
1778181390150364002,11.312,22.8975,643.75,14.56
1778181390551076100,11.292,25.0,326.15,15.049999999999999
1778181390751857598,11.524,17.7475,995.325,15.487499999999999
1778181391052459809,11.904,8.9325,1399.075,15.487499999999999
1778181391453595103,12.196,2.8325,992.825,15.819999999999999
1778181391855003610,12.212,2.8475,1391.45,15.785
1778181392156194618,12.216,3.015,969.55,15.785
1778181392356926083,12.244,2.3975,1320.425,15.697500000000002
1778181392757910061,12.292,1.815,752.8,15.504999999999999
1778181393058805054,12.3,1.865,658.95,15.504999999999999
1778181393459949384,12.348,1.9125,372.55,15.4175
1778181393961090699,12.304,2.5175,1136.925,15.260000000000002
1778181394361779853,12.204,4.53,192.8,15.260000000000002
1778181394662504585,11.676,16.165,588.375,15.120000000000001
1778181395062868609,11.664,16.665,157.175,15.1725
1778181395463671638,12.22,2.9325,479.65,15.1725
1778181395764290191,12.292,1.9125,1463.775,15.2775
1778181396165344702,12.308,1.815,1190.275,15.102500000000001
1778181396566052030,12.316,1.68,355.625,15.102500000000001
1778181396866739824,12.32,1.75,1085.275,14.8925
1778181397267906666,12.324,1.765,35.175,14.8925
1778181397669018525,12.328,1.7,107.325,14.735
1778181397869621067,12.332,1.75,327.525,14.665000000000001
1778181398070041207,12.336,1.78,999.525,14.665000000000001
1778181398370710385,12.336,1.865,1411.9,14.5775
1778181398771602821,12.348,1.715,1031.975,14.5775
1778181399172395961,12.344,1.7,1510.925,14.4375
1778181399472899948,12.352,2.3825,1334.175,14.367500000000001
1778181399873738785,12.352,1.75,794.775,14.367500000000001
1778181400174644426,12.352,1.73,787.05,14.280000000000001
1778181400575388645,12.344,2.115,763.475,14.280000000000001
1778181400976509532,12.348,2.0825,691.525,14.1225
1778181401377305347,12.344,2.1,471.95,14.069999999999999
1778181401677589951,12.348,2.0825,1440.275,14.069999999999999
1778181402078230206,12.352,2.0175,1118.55,13.965
1778181402479141764,12.352,1.8975,136.725,13.965
1778181402879367332,12.2,5.93,417.25,13.79
1778181403280371905,12.304,3.08,1273.325,13.79
1778181403480830900,11.972,10.7,609.075,13.65
1778181403781488084,11.312,25.7975,220.325,13.685
1778181404081973728,11.276,27.065,672.375,13.685
1778181404382235859,11.28,25.6,413.525,14.14
1778181404783119593,11.256,25.7475,1261.975,14.5775
1778181405184330470,12.272,1.78,574.425,14.5775
1778181405385027781,12.284,1.6325,114.6,14.805000000000001
1778181405685981660,12.3,1.7,349.725,14.647499999999999
1778181406086687657,12.312,2.13,1067.275,14.647499999999999
1778181406487631084,12.3,2.1,1618.65,14.489999999999998
1778181406888539065,12.28,2.9975,24.525,14.489999999999998
1778181407189341826,12.268,3.215,74.825,14.315
1778181407590268076,12.204,4.45,228.325,14.14
1778181407891101288,12.168,5.815,696.775,14.14
1778181408291929728,12.12,6.8,487.975,14.0
1778181408592665503,12.032,8.615,1489.175,14.0
1778181408993146672,12.004,8.9125,1267.8,13.895000000000001
1778181409393808751,11.908,11.5,592.2,13.86
1778181409794533305,11.732,15.3,168.85,13.86
1778181410095083140,11.76,14.5325,515.275,14.0175
1778181410495991068,11.756,14.265,1572.475,14.0175
1778181410896884539,11.62,16.8825,1522.0,14.227500000000001
1778181411297933033,11.584,18.5,1367.975,14.4375
1778181411598938058,11.54,19.2325,897.925,14.4375
1778181411799143649,11.8,14.0825,1101.825,14.525000000000002
1778181412200537781,11.28,25.085,85.7,14.665000000000001
1778181412601407129,11.072,29.15,261.525,14.665000000000001
1778181413003042471,11.052,29.715,798.1,14.875
1778181413304000350,11.08,29.35,797.2,15.067499999999999
1778181413504503133,11.092,28.4,794.45,15.067499999999999
